seed,method,horizon,prefix_max,prefix_mean
0,short,1,0.01993870735168457,0.014491385780274868
0,short,2,0.02233511209487915,0.013673648238182068
0,short,4,0.06402182579040527,0.02450949139893055
0,short,8,0.06402182579040527,0.024715088307857513
0,short,16,0.08985412120819092,0.020907187834382057
0,short,25,0.08985412120819092,0.019535064697265625
0,short,33,0.08985412120819092,0.019061710685491562
0,long,1,0.01993870735168457,0.014491385780274868
0,long,2,0.02233511209487915,0.013673648238182068
0,long,4,0.06402182579040527,0.02450949139893055
0,long,8,0.06402182579040527,0.024715088307857513
0,long,16,0.08985412120819092,0.020907187834382057
0,long,25,0.08985412120819092,0.019535064697265625
0,long,33,0.08985412120819092,0.019061710685491562
0,full,1,2.9802322387695312e-08,1.4784745872020721e-08
0,full,2,2.9802322387695312e-08,1.4901161193847656e-08
0,full,4,1.1920928955078125e-07,3.7136487662792206e-08
0,full,8,1.1920928955078125e-07,1.8568243831396103e-08
0,full,16,1.7881393432617188e-07,1.1015799827873707e-08
0,full,25,1.7881393432617188e-07,8.558854069917743e-09
0,full,33,1.7881393432617188e-07,7.24597182255593e-09
1,short,1,0.055281609296798706,0.05025169253349304
1,short,2,0.08425484597682953,0.0656680092215538
1,short,4,0.09096494317054749,0.06318943202495575
1,short,8,0.12115621566772461,0.0712791383266449
1,short,16,0.32811421155929565,0.08202012628316879
1,short,25,0.32811421155929565,0.08577589690685272
1,short,33,0.32811421155929565,0.08740917593240738
1,long,1,0.051313310861587524,0.04498649388551712
1,long,2,0.051313310861587524,0.04507247731089592
1,long,4,0.051313310861587524,0.030480412766337395
1,long,8,0.051313310861587524,0.02617136389017105
1,long,16,0.07728046178817749,0.020461885258555412
1,long,25,0.07728046178817749,0.018369195982813835
1,long,33,0.07728046178817749,0.017495758831501007
1,full,1,1.4901161193847656e-08,7.566995918750763e-09
1,full,2,1.4901161193847656e-08,3.7834979593753815e-09
1,full,4,1.4901161193847656e-08,1.8917489796876907e-09
1,full,8,1.4901161193847656e-08,9.458744898438454e-10
1,full,16,1.1920928955078125e-07,1.3387762010097504e-09
1,full,25,1.1920928955078125e-07,1.760199652700578e-09
1,full,33,1.1920928955078125e-07,1.753285294725515e-09
2,short,1,0.09316515922546387,0.06973105669021606
2,short,2,0.09316515922546387,0.062473565340042114
2,short,4,0.09316515922546387,0.058763470500707626
2,short,8,0.09316515922546387,0.04403219372034073
2,short,16,1.0146148204803467,0.06069027632474899
2,short,25,1.0146148204803467,0.06465361267328262
2,short,33,1.0146148204803467,0.06685754656791687
2,long,1,0.058839231729507446,0.044722795486450195
2,long,2,0.058839231729507446,0.02678018808364868
2,long,4,0.058839231729507446,0.02327616699039936
