seed,method,horizon,prefix_max,prefix_mean
2,long,8,0.058839231729507446,0.022670350968837738
2,long,16,0.058839231729507446,0.022388707846403122
2,long,25,0.058839231729507446,0.022214358672499657
2,long,33,0.058839231729507446,0.022066224366426468
2,full,1,1.1920928955078125e-07,5.494803190231323e-08
2,full,2,1.1920928955078125e-07,3.550667315721512e-08
2,full,4,1.1920928955078125e-07,3.550667315721512e-08
2,full,8,1.1920928955078125e-07,1.775333657860756e-08
2,full,16,1.1920928955078125e-07,1.0135408956557512e-08
2,full,25,1.7881393432617188e-07,8.465722345363247e-09
2,full,33,2.384185791015625e-07,8.124378503282514e-09
3,short,1,0.02982555329799652,0.025469817221164703
3,short,2,0.07860201597213745,0.05153897404670715
3,short,4,0.07860201597213745,0.040786776691675186
3,short,8,0.1363614797592163,0.054325953125953674
3,short,16,1.8827542066574097,0.06182345002889633
3,short,25,1.8883891105651855,0.07041438668966293
3,short,33,1.8883997201919556,0.07579044997692108
3,long,1,5.960464477539063e-08,3.620516508817673e-08
3,long,2,5.960464477539063e-08,3.230525180697441e-08
3,long,4,5.960464477539063e-08,2.750311978161335e-08
3,long,8,5.960464477539063e-08,2.440356183797121e-08
3,long,16,1.1920928955078125e-07,1.6105332178995013e-08
3,long,25,1.6391277313232422e-07,1.174863406561144e-08
3,long,33,1.6391277313232422e-07,1.0269242345373186e-08
3,full,1,5.960464477539063e-08,3.620516508817673e-08
3,full,2,5.960464477539063e-08,3.230525180697441e-08
3,full,4,5.960464477539063e-08,2.750311978161335e-08
3,full,8,5.960464477539063e-08,2.440356183797121e-08
3,full,16,1.1920928955078125e-07,1.6105332178995013e-08
3,full,25,1.6391277313232422e-07,1.174863406561144e-08
3,full,33,1.6391277313232422e-07,1.0269242345373186e-08
4,short,1,0.03473803400993347,0.03353409469127655
4,short,2,0.0956735610961914,0.06019905209541321
4,short,4,0.0956735610961914,0.05203303322196007
4,short,8,0.2213628888130188,0.06116343289613724
4,short,16,1.7046360969543457,0.09017042070627213
4,short,25,1.723066806793213,0.07625246047973633
4,short,33,1.723085641860962,0.07028433680534363
4,long,1,5.960464477539063e-08,4.621688276529312e-08
4,long,2,5.960464477539063e-08,4.621688276529312e-08
4,long,4,2.384185791015625e-07,5.657784640789032e-08
4,long,8,2.384185791015625e-07,4.1676685214042664e-08
4,long,16,2.384185791015625e-07,2.3726897779852152e-08
4,long,25,2.384185791015625e-07,1.6125850876846926e-08
4,long,33,2.384185791015625e-07,1.3211375105015577e-08
4,full,1,5.960464477539063e-08,4.621688276529312e-08
4,full,2,5.960464477539063e-08,4.621688276529312e-08
4,full,4,2.384185791015625e-07,5.657784640789032e-08
4,full,8,2.384185791015625e-07,4.1676685214042664e-08
4,full,16,2.384185791015625e-07,2.3726897779852152e-08
4,full,25,2.384185791015625e-07,1.6125850876846926e-08
4,full,33,2.384185791015625e-07,1.3211375105015577e-08
5,short,1,0.008670300245285034,0.00839275773614645
5,short,2,0.05185183137655258,0.025867531076073647
5,short,4,0.07845816016197205,0.040479984134435654
5,short,8,0.07845816016197205,0.0473494715988636
5,short,16,0.08657634258270264,0.05080631002783775
5,short,25,0.08657634258270264,0.05209095776081085
5,short,33,0.08657634258270264,0.05270181596279144
5,long,1,0.008670300245285034,0.00839275773614645
5,long,2,0.05185183137655258,0.025867531076073647
5,long,4,0.07845816016197205,0.040479984134435654
5,long,8,0.07845816016197205,0.0473494715988636
5,long,16,0.08657634258270264,0.05080631002783775
5,long,25,0.08657634258270264,0.05209095776081085
5,long,33,0.08657634258270264,0.05270181596279144
5,full,1,0.0,0.0
5,full,2,2.9802322387695312e-08,7.62520357966423e-09
5,full,4,2.9802322387695312e-08,1.1437805369496346e-08
5,full,8,2.9802322387695312e-08,1.3344106264412403e-08
5,full,16,1.4901161193847656e-07,1.4300894690677524e-08
5,full,25,1.4901161193847656e-07,1.3473909099559478e-08
5,full,33,1.7881393432617188e-07,1.324841658600917e-08
6,short,1,0.04136538505554199,0.032794490456581116
6,short,2,0.04136538505554199,0.024731839075684547
6,short,4,0.07854324579238892,0.03548366203904152
6,short,8,0.11672323942184448,0.064637690782547
6,short,16,1.147493839263916,0.08935912698507309
6,short,25,1.7291274070739746,0.0990019217133522
6,short,33,1.7417242527008057,0.10543765872716904
6,long,1,5.960464477539063e-08,2.9802322387695312e-08
6,long,2,5.960464477539063e-08,2.9802322387695312e-08
6,long,4,5.960464477539063e-08,2.2351741790771484e-08
6,long,8,5.960464477539063e-08,2.2351741790771484e-08
6,long,16,1.1920928955078125e-07,1.2500095181167126e-08
6,long,25,1.7881393432617188e-07,1.113861802792826e-08
6,long,33,1.7881393432617188e-07,1.0816041395855791e-08
6,full,1,5.960464477539063e-08,2.9802322387695312e-08
6,full,2,5.960464477539063e-08,2.9802322387695312e-08
6,full,4,5.960464477539063e-08,2.2351741790771484e-08
6,full,8,5.960464477539063e-08,2.2351741790771484e-08
6,full,16,1.1920928955078125e-07,1.2500095181167126e-08
6,full,25,1.7881393432617188e-07,1.113861802792826e-08
6,full,33,1.7881393432617188e-07,1.0816041395855791e-08
7,short,1,0.09787857532501221,0.09175524115562439
7,short,2,0.09787857532501221,0.06021197512745857
7,short,4,0.09787857532501221,0.05320967733860016
7,short,8,0.09787857532501221,0.047395773231983185
7,short,16,0.1916271448135376,0.05011822283267975
7,short,25,0.1916271448135376,0.0513884462416172
7,short,33,0.1916271448135376,0.05192852392792702
7,long,1,0.01376749575138092,0.009983734227716923
7,long,2,0.03062582015991211,0.01909191906452179
7,long,4,0.07682731747627258,0.03650187328457832
7,long,8,0.07682731747627258,0.02844182588160038
7,long,16,0.09524637460708618,0.02388276904821396
7,long,25,0.09524637460708618,0.022091688588261604
7,long,33,0.09524637460708618,0.021247101947665215
7,full,1,0.0,0.0
7,full,2,2.9802322387695312e-08,1.0797521099448204e-08
7,full,4,2.9802322387695312e-08,5.398760549724102e-09
7,full,8,5.960464477539063e-08,6.046320777386427e-09
7,full,16,2.384185791015625e-07,6.959453457966447e-09
7,full,25,2.384185791015625e-07,7.4389392423768186e-09
7,full,33,2.384185791015625e-07,7.49114992260047e-09
8,short,1,0.02692192792892456,0.016135238111019135
8,short,2,0.028688490390777588,0.01876271516084671
8,short,4,0.06718186289072037,0.033512722700834274
8,short,8,0.06718186289072037,0.023623468354344368
8,short,16,0.06718186289072037,0.018535315990447998
8,short,25,0.06718186289072037,0.016665279865264893
8,short,33,0.06718186289072037,0.01586751639842987
8,long,1,0.02692192792892456,0.016135238111019135
8,long,2,0.028688490390777588,0.01876271516084671
8,long,4,0.06718186289072037,0.033512722700834274
8,long,8,0.06718186289072037,0.023623468354344368
8,long,16,0.06718186289072037,0.018535315990447998
8,long,25,0.06718186289072037,0.016665279865264893
8,long,33,0.06718186289072037,0.01586751639842987
8,full,1,0.0,0.0
8,full,2,0.0,0.0
8,full,4,0.0,0.0
8,full,8,0.0,0.0
8,full,16,1.1920928955078125e-07,2.3283064365386963e-09
8,full,25,1.1920928955078125e-07,3.5192351255375343e-09
8,full,33,2.384185791015625e-07,3.6203400277656783e-09
9,short,1,2.9802322387695312e-08,1.618172973394394e-08
9,short,2,2.9802322387695312e-08,8.09086486697197e-09
9,short,4,2.9802322387695312e-08,4.045432433485985e-09
9,short,8,2.9802322387695312e-08,2.0227162167429924e-09
9,short,16,1.7881393432617188e-07,3.5179255064576864e-09
9,short,25,1.7881393432617188e-07,4.637986439348651e-09
9,short,33,1.7881393432617188e-07,4.296783817636651e-09
9,long,1,2.9802322387695312e-08,1.618172973394394e-08
9,long,2,2.9802322387695312e-08,8.09086486697197e-09
9,long,4,2.9802322387695312e-08,4.045432433485985e-09
9,long,8,2.9802322387695312e-08,2.0227162167429924e-09
9,long,16,1.7881393432617188e-07,3.5179255064576864e-09
9,long,25,1.7881393432617188e-07,4.637986439348651e-09
9,long,33,1.7881393432617188e-07,4.296783817636651e-09
9,full,1,2.9802322387695312e-08,1.618172973394394e-08
9,full,2,2.9802322387695312e-08,8.09086486697197e-09
9,full,4,2.9802322387695312e-08,4.045432433485985e-09
9,full,8,2.9802322387695312e-08,2.0227162167429924e-09
9,full,16,1.7881393432617188e-07,3.5179255064576864e-09
9,full,25,1.7881393432617188e-07,4.637986439348651e-09
9,full,33,1.7881393432617188e-07,4.296783817636651e-09
