seed,method,size,selection_steps,heldout_max
0,short,15,4096,0.08985412120819092
0,short,14,7936,0.18024146556854248
0,short,12,14848,1.5730371475219727
0,long,15,25600,0.08985412120819092
0,long,14,49600,0.18024146556854248
0,long,12,92800,0.5827304124832153
0,random_median50,12,0,1.1089103817939758
0,random_median50,14,0,0.5807720422744751
0,random_median50,15,0,0.5231220722198486
1,short,15,4096,0.07728046178817749
1,short,14,7936,0.32811421155929565
1,short,12,14848,1.6376564502716064
1,long,15,25600,0.07728046178817749
1,long,14,49600,0.27198171615600586
1,long,12,92800,0.22372746467590332
1,random_median50,12,0,0.738126277923584
1,random_median50,14,0,0.5325810313224792
1,random_median50,15,0,0.2855255603790283
2,short,15,4096,0.058839231729507446
2,short,14,7936,1.6009342670440674
2,short,12,14848,1.0146148204803467
2,long,15,25600,0.058839231729507446
2,long,14,49600,0.12763801217079163
2,long,12,92800,0.1986781358718872
2,random_median50,12,0,1.2088065147399902
2,random_median50,14,0,0.9549717009067535
2,random_median50,15,0,0.22751018404960632
3,short,15,4096,1.9598137140274048
3,short,14,7936,1.8883997201919556
3,short,12,14848,1.3143731355667114
3,long,15,25600,0.100921630859375
3,long,14,49600,0.27183663845062256
3,long,12,92800,0.38344335556030273
3,random_median50,12,0,0.9807536005973816
3,random_median50,14,0,0.6747692823410034
3,random_median50,15,0,0.5175545811653137
4,short,15,4096,1.7339096069335938
4,short,14,7936,1.723085641860962
4,short,12,14848,0.5160750150680542
4,long,15,25600,0.22805944085121155
4,long,14,49600,0.25440913438796997
4,long,12,92800,0.3222319483757019
4,random_median50,12,0,1.1659299731254578
4,random_median50,14,0,0.8240377008914948
4,random_median50,15,0,0.3396507501602173
5,short,15,4096,0.08657634258270264
5,short,14,7936,0.19991064071655273
5,short,12,14848,1.8701286315917969
5,long,15,25600,0.08657634258270264
5,long,14,49600,0.1856374889612198
5,long,12,92800,0.29263371229171753
5,random_median50,12,0,1.1868301630020142
5,random_median50,14,0,0.7821289300918579
5,random_median50,15,0,0.4563179016113281
6,short,15,4096,1.7417242527008057
6,short,14,7936,1.697421908378601
6,short,12,14848,1.0911402702331543
6,long,15,25600,0.15927231311798096
6,long,14,49600,0.12878090143203735
6,long,12,92800,0.34425783157348633
6,random_median50,12,0,1.1519602537155151
6,random_median50,14,0,1.017459750175476
6,random_median50,15,0,0.47199690341949463
7,short,15,4096,0.17625641822814941
7,short,14,7936,0.1292092502117157
7,short,12,14848,1.7628893852233887
7,long,15,25600,0.09524637460708618
7,long,14,49600,0.1292092502117157
7,long,12,92800,0.278778076171875
7,random_median50,12,0,1.0908690690994263
7,random_median50,14,0,0.5502596497535706
7,random_median50,15,0,0.41144925355911255
8,short,15,4096,0.06718186289072037
8,short,14,7936,0.10182373970746994
8,short,12,14848,1.8013789653778076
8,long,15,25600,0.06718186289072037
8,long,14,49600,0.10182373970746994
8,long,12,92800,0.22181135416030884
8,random_median50,12,0,1.012470543384552
8,random_median50,14,0,0.4702647030353546
8,random_median50,15,0,0.3219914436340332
9,short,15,4096,0.189475417137146
9,short,14,7936,0.8715635538101196
9,short,12,14848,0.39001476764678955
9,long,15,25600,0.16915027797222137
9,long,14,49600,0.20594453811645508
9,long,12,92800,0.37805962562561035
9,random_median50,12,0,0.9250260889530182
9,random_median50,14,0,0.5255675911903381
9,random_median50,15,0,0.3217986226081848
