seed,method,retained,epsilon,validation_horizon,selection_evaluations,heldout_prefix4_max,heldout_prefix25_max,heldout_prefix33_max,query_sign_agreement,first_test_violation_step,model_query_accuracy,model_query_mae,model_mse,train_steps,train_seconds,mask
0,short,15,0.1,4,31,0.06402182579040527,0.08985412120819092,0.08985412120819092,1.0,,1.0,0.00026047835126519203,3.223018438802683e-06,1000,1.5579850279999619,0 1 2 4 5 6 7 8 9 10 11 12 13 14 15
0,long,15,0.1,25,31,0.06402182579040527,0.08985412120819092,0.08985412120819092,1.0,,1.0,0.00026047835126519203,3.223018438802683e-06,1000,1.5579850279999619,0 1 2 4 5 6 7 8 9 10 11 12 13 14 15
0,full,16,0.1,25,0,1.1920928955078125e-07,1.7881393432617188e-07,1.7881393432617188e-07,1.0,,1.0,0.00026047835126519203,3.223018438802683e-06,1000,1.5579850279999619,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
1,short,14,0.1,4,45,0.09096494317054749,0.32811421155929565,0.32811421155929565,1.0,6,1.0,0.003675187472254038,1.252611582458485e-05,1000,1.4944962179999948,0 1 2 4 5 6 7 8 10 11 12 13 14 15
1,long,15,0.1,25,31,0.051313310861587524,0.07728046178817749,0.07728046178817749,1.0,,1.0,0.003675187472254038,1.252611582458485e-05,1000,1.4944962179999948,0 1 2 4 5 6 7 8 9 10 11 12 13 14 15
1,full,16,0.1,25,0,1.4901161193847656e-08,1.1920928955078125e-07,1.1920928955078125e-07,1.0,,1.0,0.003675187472254038,1.252611582458485e-05,1000,1.4944962179999948,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
2,short,12,0.1,4,70,0.09316515922546387,1.0146148204803467,1.0146148204803467,0.5390625,9,1.0,0.001226799562573433,3.4167778721894138e-06,1000,1.4571276789999956,0 1 2 4 6 7 9 10 11 12 13 14
2,long,15,0.1,25,31,0.058839231729507446,0.058839231729507446,0.058839231729507446,1.0,,1.0,0.001226799562573433,3.4167778721894138e-06,1000,1.4571276789999956,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
2,full,16,0.1,25,0,1.1920928955078125e-07,1.7881393432617188e-07,2.384185791015625e-07,1.0,,1.0,0.001226799562573433,3.4167778721894138e-06,1000,1.4571276789999956,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
3,short,14,0.1,4,45,0.07860201597213745,1.8883891105651855,1.8883997201919556,0.546875,6,1.0,0.0017082500271499157,2.6302811875211773e-06,1000,1.4540761499999917,0 2 3 4 5 6 7 8 9 10 11 12 14 15
3,long,16,0.1,25,16,5.960464477539063e-08,1.6391277313232422e-07,1.6391277313232422e-07,1.0,,1.0,0.0017082500271499157,2.6302811875211773e-06,1000,1.4540761499999917,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
3,full,16,0.1,25,0,5.960464477539063e-08,1.6391277313232422e-07,1.6391277313232422e-07,1.0,,1.0,0.0017082500271499157,2.6302811875211773e-06,1000,1.4540761499999917,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
4,short,14,0.1,4,45,0.0956735610961914,1.723066806793213,1.723085641860962,0.61328125,6,1.0,0.0008995388634502888,1.4095036249273107e-06,1000,1.5149669399999652,0 1 2 3 4 6 7 8 9 10 12 13 14 15
4,long,16,0.1,25,16,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,1.0,,1.0,0.0008995388634502888,1.4095036249273107e-06,1000,1.5149669399999652,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
4,full,16,0.1,25,0,2.384185791015625e-07,2.384185791015625e-07,2.384185791015625e-07,1.0,,1.0,0.0008995388634502888,1.4095036249273107e-06,1000,1.5149669399999652,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
5,short,15,0.1,4,31,0.07845816016197205,0.08657634258270264,0.08657634258270264,1.0,,1.0,0.0019738986156880856,3.856435796478763e-06,1000,1.51969699,0 1 2 3 4 5 6 7 8 10 11 12 13 14 15
5,long,15,0.1,25,31,0.07845816016197205,0.08657634258270264,0.08657634258270264,1.0,,1.0,0.0019738986156880856,3.856435796478763e-06,1000,1.51969699,0 1 2 3 4 5 6 7 8 10 11 12 13 14 15
5,full,16,0.1,25,0,2.9802322387695312e-08,1.4901161193847656e-07,1.7881393432617188e-07,1.0,,1.0,0.0019738986156880856,3.856435796478763e-06,1000,1.51969699,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
6,short,15,0.1,4,31,0.07854324579238892,1.7291274070739746,1.7417242527008057,0.58203125,7,1.0,0.003907081205397844,2.86092035821639e-05,1000,1.4044050109999944,0 1 2 3 4 5 6 7 8 10 11 12 13 14 15
6,long,16,0.1,25,16,5.960464477539063e-08,1.7881393432617188e-07,1.7881393432617188e-07,1.0,,1.0,0.003907081205397844,2.86092035821639e-05,1000,1.4044050109999944,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
6,full,16,0.1,25,0,5.960464477539063e-08,1.7881393432617188e-07,1.7881393432617188e-07,1.0,,1.0,0.003907081205397844,2.86092035821639e-05,1000,1.4044050109999944,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15
7,short,13,0.1,4,58,0.09787857532501221,0.1916271448135376,0.1916271448135376,1.0,9,1.0,0.0022429993841797113,1.0230363841401413e-05,1000,1.4112854599999878,0 3 4 5 6 7 8 9 11 12 13 14 15
