transitions,degree,radius,grid_points,exact_difference,expected_difference,grid_max_error,path_bound,universal_bound,monomial_coefficient
1,2,1/10,4,1/25,1/25,1.21,0.01,0.005,1
1,2,1/4,4,1/4,1/4,1.5625,0.0625,0.03125,1
2,3,1/10,8,1/125,1/125,2.541,0.001,0.00022222222222222223,1
2,3,1/4,8,1/8,1/8,3.515625,0.015625,0.003472222222222222,1
3,4,1/10,12,1/1250,1/1250,4.0051,5e-05,9.375e-06,1
3,4,1/4,12,1/32,1/32,5.95703125,0.001953125,0.0003662109375,1
4,5,1/10,16,2/28125,2/28125,5.61561,2.222222222222222e-06,3.84e-07,1
4,5,1/4,16,1/144,1/144,9.0087890625,0.00021701388888888888,3.75e-05,1
5,6,1/10,20,3/500000,3/500000,7.387171,9.375e-08,1.54320987654321e-08,1
5,6,1/4,20,3/2048,3/2048,12.823486328125,2.288818359375e-05,3.7676022376543208e-06,1
6,7,1/10,24,24/48828125,24/48828125,9.3358881,3.84e-09,6.119899021666143e-10,1
6,7,1/4,24,3/10000,3/10000,17.59185791015625,2.34375e-06,3.7352899302161515e-07,1
